country,score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption
Slovakia,0.540838726122486,0.8006850601469863,1.0241399078043856,0.64255329521326,-0.7372943402174482,-0.5396498554296132,-0.9090071859909273
Japan,0.5338518884030671,1.0532892557662996,0.9768878492516543,1.4604739160142721,0.448163883673884,-1.0281057280918713,0.30973009121338224
South Korea,0.5312318242582849,0.9884699723377162,-0.12228241411406257,1.3563366624479893,-0.6406075605371041,-0.4083003770666529,-0.540278551845991
Ecuador,0.5233716318239383,0.04436086096823408,0.029313351048508022,0.6495551393123528,0.3790829381370012,-0.9621152449720188,0.3122293815487523
Bahrain,0.5102713111000282,1.1848131136837698,0.826797394423708,0.4731329518675705,0.1745608688337607,-0.5026288786554375,1.3544334513980865
Italy,0.4997910545209003,1.004668591579532,0.7589849995931757,1.3121400511404182,-1.1032707231530003,-0.07155946679238133,-0.9531613152491325
Bolivia,0.4491364810551128,-0.4088283808828148,-0.046392744317251385,-0.36854537116562525,0.9657069136855557,-0.2520860635568585,-0.46171752563752405
Moldova,0.4482631263401859,-0.6242724974450984,0.08897504114034076,-0.0485651431457923,-0.6664880300465988,-0.21932762995071145,-1.0602975609586645
Paraguay,0.43865622447598485,-0.2140480465999073,1.151834282044013,0.12433588570580464,0.7324508872089527,0.8296526693073281,-0.508204325875408
Kazakhstan,0.4185690660326558,0.6856574990071699,0.48230161711191266,0.0543174447148724,0.5831404861926354,-0.939539553378385,-0.4905426741721259
Slovenia,0.4124555830281638,0.8405490434878717,1.0383118538815839,0.9839437864031522,1.1940522869731778,0.12617517461339722,-0.8793489406778687
Lithuania,0.39935526230425367,0.7469046520057048,0.9780994404965959,0.4088616892701135,-1.4280374354080485,-1.6646455078508324,-1.1089504128205356
Nicaragua,0.394988488729617,-0.6273236921874311,0.5536386410186397,0.4568627707818162,0.8370345280986045,0.32248896829649937,0.4144503562653897
Peru,0.3914950698699072,0.13408583156187606,-0.060417830849608556,0.4043691765822558,-0.09061440337121936,-0.6904965219870752,-0.695901030061703
Belarus,0.3818881680057061,0.46086134652732913,0.8879276799639554,0.4282887711635511,-0.32672391751168967,-1.0011885573456156,0.39553905939442235
Poland,0.3626743642773047,0.6931242438644234,1.0589823348180158,0.6021206810225421,0.6808890287246514,-0.550227277365092,-0.843942327593459
Malaysia,0.34433391526382945,0.6914125980333584,0.29072334086626167,0.37915444320806474,0.674385731258163,0.7376922472563373,-0.3200077636220389
Croatia,0.3347270133996292,0.5864316537280524,-0.7152278264113549,0.6386274057472943,-1.1266958660680046,-1.4433879430363026,-0.9924001735144432
Libya,0.3303602398249917,0.7077600560430932,0.4683866752381869,0.2976416454301815,-0.07920045271574976,-0.4289816050300517,-0.2765201117865992
Russia,0.29717276065775255,0.7231152556000364,0.8999701626409529,0.15784760197198477,-0.410271381902598,-1.8574071822272438,-0.9444971087531829
Jamaica,0.29105927765326056,-0.08870099755106238,0.5873429065597489,0.23130625538154673,0.5030437510696594,-0.19730449024922964,-1.0033137413122262
North Cyprus,0.2788323116442781,0.8978023562139225,0.290172617573106,1.1870782114514122,0.409144098874953,0.19256033765621522,-0.005180491043251161
Cyprus,0.27359218335471375,0.8979760014431609,-0.3593137194881382,1.1870782114514122,-0.14529519023230614,0.5453252528028915,-0.6828214106399327
Algeria,0.20023038730081583,0.23107909532221307,0.3182227906378203,-0.05099352838247222,-0.9477888255613416,-1.255678171673851,0.2533294393118635
Kosovo,0.18625671186197806,-0.11077874812566604,-0.6574385955162501,0.004292708839269736,-1.201948308180229,0.3615622806700964,-0.7998715080130994
Turkmenistan,0.15044916854995596,0.2786578881335501,0.8651277356273225,-0.36992145613307714,0.3151117263237879,-0.5328613607546044,1.3747610127924301
Mauritius,0.08844098379011366,0.4005568390589454,-0.021426621694207407,0.3207113051786391,0.8762533934322245,1.1062443593216387,-0.5682706036021362
Hong Kong,0.08582091964533146,1.3393077547833552,0.24648190298277908,1.550202750509588,1.1113011447210233,1.2431193566061176,1.8979457896632392
Estonia,0.04651995747360033,0.7580923660609253,0.8696436666311969,0.5801842677178687,0.1344793211831582,-1.1879510968929499,0.07013145772923464
Indonesia,0.020319316025779317,-0.044322238249977226,0.3525879241307161,0.03104541953002482,0.2488179082725429,2.1948505228454267,-1.1948426906794218
Vietnam,-0.013741517856387461,-0.5308017511921697,-0.2892617165987739,0.4715140283764504,1.1004180754913888,-0.5422547429211863,-0.32500634429277914
Turkey,-0.03819544987435395,0.5329489231226081,-0.16421081416629207,0.41064250511034533,-1.3302888928760326,-0.9059128239417137,0.11695149667850119
Kyrgyzstan,-0.07836976676101273,-0.9224461625088461,0.5878202000804833,0.08345806755502913,0.040845109701369585,0.49733217417027153,-0.8422761340365456
Nigeria,-0.09409015162970503,-0.4757562135235795,-0.3184133362497985,-1.903001529136271,-0.5658859998507159,0.27654822526330064,-0.8591046889613709
Bhutan,-0.10719047235361516,-0.18782761698490064,0.4145259371675909,-0.22741571582725492,0.6864632836959269,1.9156539453395436,0.09187528364695458
Azerbaijan,-0.14299801566563725,0.4409417580875464,-0.195014603696783,0.041244637524079565,-0.38697895934405235,-1.257493699319493,0.14352728391126998
Pakistan,-0.15871840053432953,-0.6219158836197193,-2.1182137731677892,-0.4678663273458264,-2.041205482248393,0.7847380940738401,-0.3230902217023288
Jordan,-0.16046510996418406,0.13852618813811646,0.23084136145716658,0.26765108775718666,-0.14602515219283035,-1.0006360054534638,-0.004097465231257522
Montenegro,-0.16046510996418406,0.31812496809331897,-0.31382397547350377,0.3842945252923701,-1.6325595047112889,-0.5990886518282365,-0.0038475361977204922
China,-0.2058795551404072,0.1091057250128582,-0.1626320740592469,0.7540971237514154,0.5863257747476504,-1.2270244092665465,-0.9631584765906129
Zambia,-0.21548645700460828,-0.93212068242356,-0.2750897705215752,-1.3397375734884067,0.3958720632290581,-0.3266805689973616,-0.15613762729960567
Romania,-0.219853230579245,0.4894631964290348,-0.38611558642169985,0.5611214436099328,-0.5171776290302815,-0.7879035269749917,-1.140774709757582
Serbia,-0.22072658529417186,0.18454217388630703,0.06826784531769897,0.4779897223409299,-1.5099922555214496,-0.3550975234508866,-0.9768212637573029
Portugal,-0.23906703430764634,0.7783592449591851,0.5444966343522608,0.9913098882877476,0.5711956541113298,-0.7901926705281922,-1.1050348579617892
Latvia,-0.24256045316735617,0.6622898124439378,0.38394243695436236,0.3808947859610183,-0.8753235109347555,-0.43442818796697735,-0.6673258105606381
Philippines,-0.2643943210405397,-0.34931768017666426,0.16196423492653417,-0.198801243121712,1.306200988180989,0.09957374780551395,-0.17188315641243737
Somaliland region,-0.2783679964793775,-1.6314396334894594,-0.14511907333690566,-0.7751784790476467,0.24689346310388807,2.0987854295955937,2.131546126342499
Morocco,-0.3167956039361817,-0.27621303866727426,-1.285373294372014,-0.08385767525220468,-0.07767416861647179,-1.3069865616593823,-0.48287818381032427
Macedonia,-0.3220357322257461,0.1795312686997118,0.04139254861171648,0.4257389666650377,-0.624083876157965,-0.10818576364359121,-0.7510520367955367
Mozambique,-0.3534765019631307,-1.892874929338614,0.1292879861993145,-2.1812944772597684,-0.5855949727848696,-0.11529000225697256,0.10503821274657046
Albania,-0.3639567585422594,0.08070232680171067,-0.685488768580964,0.740619585687843,-0.47304811050768103,-0.746541071048194,-0.6605777266551387
Bosnia and Herzegovina,-0.37269030569153283,-0.03449887956734442,-0.2639284451136264,0.649797977836021,-2.2307965114500012,0.08512846262497208,-1.1759313938084548
Lesotho,-0.41723139615282834,-1.1676084197322254,0.18351587313201403,-2.2427730968350437,-0.7362325773657767,-0.5795125276491414,-0.15313847889716145
Dominican Republic,-0.42858500744688394,0.1221291172057423,0.6644441676015024,0.1537598201569074,0.9828278396687603,-0.1614675532439507,-0.009012736224152124
Laos,-0.43644519988122965,-0.6337485656692542,-0.9289451790418525,-0.32851748784768786,1.110173021691122,1.4573516187918591,0.8253336874002352
Mongolia,-0.438191909311085,-0.04452068994053538,1.1365241744942935,-0.11162221312490954,0.05073277625756123,0.7499273248682717,-0.972739089542865
Swaziland,-0.4443053923155762,-0.3325981252471328,0.3003059261671653,-2.2446348588498313,-0.8098260150222638,-0.43182330047540424,-0.9399150764716709
Greece,-0.45303893946484963,0.7638474650871144,-0.22658940583769163,1.0193982108586763,-2.333389346992769,-1.8731154431612758,-1.0784590707290205
Lebanon,-0.46875932433354195,0.4452828888185081,-0.7013863143100495,0.8467400205307475,-0.593624554350636,-0.1480484358631194,-0.8131177467905609
Hungary,-0.5028201582157095,0.6816884651960051,0.775066119753313,0.5212554526411071,-0.7133383158766079,-0.8627348403692743,-0.9650745991810634
Honduras,-0.5133004147948375,-0.6221887546942371,-0.1379229556396755,0.26243005949832565,-0.18006792362455093,-0.0554565259353837,-0.6262541393827227
Tajikistan,-0.5150471242246927,-1.130349114829917,-0.49717811720803473,-0.22854896227103857,0.28896581610137495,-0.05964013311881935,0.0608007738105195
Tunisia,-0.5560947958262784,0.08680471628637644,-1.4199700672191888,0.43577629230998033,-1.101147197449657,-1.3654781262428881,-0.6651597589366507
Palestinian Territories,-0.577055308984535,-0.6138785901521108,-0.24035748816657623,0.12097661946173102,-1.2185383527375973,-0.9850066805040251,-0.11973129808104781
Bangladesh,-0.5953957579980095,-1.1128357531381525,-2.0559820410412315,-0.11583141420182123,-0.13547388385434406,-0.1979359781259746,-0.147723349837193
Iran,-0.6023825957174284,0.4035088079559992,-1.6395985165295541,0.2743696202453339,-0.8513011264156857,1.133240466052487,-0.7063980494702574
Ukraine,-0.6067493692920651,-0.11675710530373293,0.7773791575845652,0.17662711446897508,-1.1771296015224053,-0.6673682785012897,-0.9481627345783924
Iraq,-0.6102427881517749,0.3456849466195937,-0.6320686091448924,-0.11287687883052754,-2.8442963591814934,-0.4584247272832875,-0.04616885254332097
South Africa,-0.6408102031742319,0.1844429480410281,0.7109252135438161,-1.4302353966420047,-0.6406739207153337,-0.9280148996277887,-0.4547195126984877
Ghana,-0.6486703956085784,-0.7455760932988195,-1.1436905484862399,-0.926588298554628,-0.03447369258908378,-0.05072036685979627,-0.8320290436615281
Zimbabwe,-0.6687575540519074,-1.4267119082173205,0.15315266223604743,-1.1960176405642444,-1.128155789989053,-0.3743579036916091,-0.5217838033642522
Liberia,-0.702818387934075,-1.9223450053865119,-0.7393127917653498,-1.1666341792004198,-0.9509741141163562,0.04992301349643834,-0.6756567783452051
India,-0.7080585162236386,-0.4989750613188931,-2.2370598598307203,-0.46531652284731256,-0.20409030814362078,0.21671474894171155,-0.48737690641399045
Sudan,-0.7211588369475495,-0.8063767299935984,0.08442239525025663,-1.0582877245572255,-2.1753194024501608,-0.3684377048471247,0.0264771865381035
Haiti,-0.749106187825225,-1.4373042672008665,-0.9106244508228833,-0.9785962157068524,-1.2234490059265786,1.772700877241394,0.2360010263199641
